Vehicle_Type,Lane_Type,Transaction_Amount,Amount_paid,Geographical_Location,Vehicle_Speed,Fraud_indicator,Day,Month,Year,Hour,Minute
5,0,330,330,4,48,Not Fraud,28,6,2023,10,30
6,1,125,125,4,77,Not Fraud,3,8,2023,12,45
4,0,115,115,4,60,Not Fraud,8,9,2023,15,0
3,1,145,145,4,83,Not Fraud,13,10,2023,17,15
0,0,330,330,4,71,Not Fraud,18,11,2023,19,30
1,1,90,90,4,97,Not Fraud,23,12,2023,21,45
2,1,0,0,4,46,Not Fraud,7,2,2023,0,0
5,1,330,125,4,81,Fraud,13,3,2023,2,15
6,0,125,125,4,64,Not Fraud,18,4,2023,4,30
4,1,115,60,4,93,Fraud,23,5,2023,6,45
3,0,145,90,4,57,Fraud,28,6,2023,9,0
0,1,330,330,4,86,Not Fraud,3,8,2023,11,15
0,0,350,350,3,65,Not Fraud,6,9,2023,5,55
1,1,120,120,3,78,Not Fraud,21,9,2023,21,20
2,1,0,0,3,53,Not Fraud,10,10,2023,12,46
5,1,350,350,3,92,Not Fraud,25,10,2023,4,11
6,0,140,140,3,60,Not Fraud,13,11,2023,19,36
4,1,160,160,3,105,Not Fraud,28,11,2023,11,1
3,0,180,180,3,70,Not Fraud,17,12,2023,2,26
0,1,350,160,3,88,Fraud,1,1,2023,17,51
1,0,120,120,3,45,Not Fraud,20,1,2023,9,17
2,1,0,0,3,72,Not Fraud,5,2,2023,0,42
5,0,350,350,3,58,Not Fraud,24,2,2023,16,7
6,1,140,140,3,81,Not Fraud,11,3,2023,7,32
4,0,160,160,3,67,Not Fraud,26,3,2023,22,57
3,1,180,180,3,98,Not Fraud,14,4,2023,14,23
0,0,350,350,3,50,Not Fraud,29,4,2023,5,48
1,1,120,120,3,75,Not Fraud,18,5,2023,21,13
2,1,0,0,3,62,Not Fraud,2,6,2023,12,38
5,1,350,350,3,84,Not Fraud,21,6,2023,4,3
6,0,140,140,3,55,Not Fraud,6,7,2023,19,29
4,1,160,160,3,80,Not Fraud,25,7,2023,10,54
3,0,180,180,3,68,Not Fraud,9,8,2023,2,19
0,1,350,350,3,90,Not Fraud,28,8,2023,17,44
1,0,120,120,3,48,Not Fraud,12,9,2023,9,9
2,1,0,0,3,77,Not Fraud,1,10,2023,0,34
5,0,350,350,3,63,Not Fraud,16,10,2023,15,59
6,1,140,140,3,87,Not Fraud,4,11,2023,7,24
4,0,160,140,3,52,Fraud,19,11,2023,22,49
3,1,180,180,3,95,Not Fraud,8,12,2023,14,14
0,0,350,350,3,73,Not Fraud,23,12,2023,5,39
1,1,120,120,3,82,Not Fraud,6,1,2023,21,4
2,1,0,0,3,57,Not Fraud,24,1,2023,12,30
5,1,350,350,3,96,Not Fraud,8,2,2023,3,55
6,0,140,140,3,66,Not Fraud,27,2,2023,19,20
4,1,160,160,3,89,Not Fraud,14,3,2023,10,45
3,0,180,180,3,51,Not Fraud,29,3,2023,2,10
0,1,350,350,3,76,Not Fraud,17,4,2023,17,35
1,0,120,0,3,61,Fraud,2,5,2023,9,0
2,1,0,0,3,85,Not Fraud,21,5,2023,0,26
5,0,350,350,3,74,Not Fraud,5,6,2023,15,51
6,1,140,140,3,93,Not Fraud,24,6,2023,7,16
4,0,160,160,3,49,Not Fraud,9,7,2023,22,41
3,1,180,180,3,83,Not Fraud,29,7,2023,14,6
0,0,350,90,3,59,Fraud,13,8,2023,5,31
1,1,120,120,3,91,Not Fraud,1,9,2023,20,57
2,1,0,0,3,71,Not Fraud,17,9,2023,12,22
5,1,350,350,3,86,Not Fraud,6,10,2023,3,47
6,0,140,120,3,56,Fraud,21,10,2023,19,12
4,1,160,160,3,79,Not Fraud,9,11,2023,10,37
3,0,180,120,3,64,Fraud,24,11,2023,2,3
0,1,350,350,3,97,Not Fraud,13,12,2023,17,28
1,0,120,120,3,69,Not Fraud,28,12,2023,8,53
2,1,0,0,3,94,Not Fraud,5,1,2023,0,18
5,0,350,350,3,54,Not Fraud,22,1,2023,15,44
6,1,140,140,3,81,Not Fraud,9,2,2023,7,9
4,0,160,160,3,65,Not Fraud,24,2,2023,22,34
3,1,180,180,3,92,Not Fraud,16,3,2023,14,59
0,0,350,350,3,50,Not Fraud,31,3,2023,6,24
1,1,120,120,3,75,Not Fraud,19,4,2023,21,50
2,1,0,0,3,58,Not Fraud,5,5,2023,13,15
5,1,350,350,3,89,Not Fraud,24,5,2023,4,40
6,0,140,140,3,44,Not Fraud,8,6,2023,20,5
4,1,160,160,3,78,Not Fraud,27,6,2023,11,30
3,0,180,180,3,67,Not Fraud,12,7,2023,2,55
0,1,350,350,3,95,Not Fraud,31,7,2023,18,20
1,0,120,120,3,55,Not Fraud,15,8,2023,9,46
2,1,0,0,3,80,Not Fraud,3,9,2023,1,11
5,0,350,350,3,62,Not Fraud,18,9,2023,16,36
6,1,140,120,3,87,Fraud,7,10,2023,8,1
4,0,160,160,3,47,Not Fraud,22,10,2023,23,26
3,1,180,100,3,73,Fraud,10,11,2023,14,51
0,0,350,120,3,68,Fraud,25,11,2023,6,17
1,1,120,120,3,91,Not Fraud,14,12,2023,21,42
2,1,0,0,3,53,Not Fraud,30,12,2023,13,7
5,1,350,350,3,82,Not Fraud,7,1,2023,4,32
6,0,140,140,3,56,Not Fraud,24,1,2023,20,57
4,1,160,160,3,84,Not Fraud,11,2,2023,12,22
3,0,180,180,3,69,Not Fraud,26,2,2023,3,48
0,1,350,350,3,94,Not Fraud,17,3,2023,19,13
1,0,120,120,3,49,Not Fraud,2,4,2023,10,38
2,1,0,0,3,76,Not Fraud,21,4,2023,2,3
5,0,350,350,3,63,Not Fraud,6,5,2023,17,28
6,1,140,140,3,88,Not Fraud,26,5,2023,8,53
4,0,160,160,3,74,Not Fraud,10,6,2023,0,19
3,1,180,180,3,96,Not Fraud,29,6,2023,15,44
0,0,350,350,3,61,Not Fraud,14,7,2023,7,9
1,1,120,100,3,85,Fraud,2,8,2023,22,34
2,1,0,0,3,52,Not Fraud,18,8,2023,14,59
5,1,350,350,3,79,Not Fraud,6,9,2023,6,24
6,0,140,140,3,66,Not Fraud,21,9,2023,21,50
4,1,160,160,3,90,Not Fraud,10,10,2023,13,15
3,0,180,180,3,48,Not Fraud,25,10,2023,4,40
0,1,350,350,3,77,Not Fraud,13,11,2023,20,5
1,0,120,120,3,60,Not Fraud,28,11,2023,11,30
2,1,0,0,3,83,Not Fraud,17,12,2023,2,55
5,0,350,350,3,71,Not Fraud,1,1,2023,18,20
6,1,140,140,3,97,Not Fraud,20,1,2023,9,46
4,0,160,160,3,46,Not Fraud,5,2,2023,1,11
3,1,180,180,3,81,Not Fraud,24,2,2023,16,36
0,0,350,350,3,64,Not Fraud,11,3,2023,8,1
1,1,120,120,3,93,Not Fraud,26,3,2023,23,26
2,1,0,0,3,57,Not Fraud,22,1,2023,23,57
5,1,350,350,3,86,Not Fraud,7,2,2023,15,22
6,0,140,120,3,55,Fraud,26,2,2023,6,48
4,1,160,160,3,82,Not Fraud,13,3,2023,22,13
3,0,180,180,3,63,Not Fraud,1,4,2023,13,38
0,1,350,350,3,90,Not Fraud,20,4,2023,5,3
1,0,120,120,3,48,Not Fraud,5,5,2023,20,28
2,1,0,0,3,76,Not Fraud,25,5,2023,11,54
5,0,350,350,3,58,Not Fraud,9,6,2023,3,19
6,1,140,140,3,87,Not Fraud,28,6,2023,18,44
4,0,160,120,3,67,Fraud,14,7,2023,10,9
3,1,180,140,3,94,Fraud,2,8,2023,1,34
0,0,350,350,3,71,Not Fraud,17,8,2023,17,0
1,1,120,0,3,89,Fraud,5,9,2023,8,25
2,1,0,0,3,52,Not Fraud,20,9,2023,23,50
5,1,350,350,3,79,Not Fraud,9,10,2023,15,15
6,0,140,140,3,66,Not Fraud,24,10,2023,6,40
4,1,160,160,3,95,Not Fraud,12,11,2023,22,5
3,0,180,180,3,44,Not Fraud,28,11,2023,13,30
0,1,350,350,3,78,Not Fraud,17,12,2023,4,56
1,0,120,120,3,61,Not Fraud,1,1,2023,20,21
2,1,0,0,3,85,Not Fraud,20,1,2023,11,46
5,0,350,350,3,49,Not Fraud,4,2,2023,3,11
6,1,140,140,3,74,Not Fraud,23,2,2023,18,36
4,0,160,160,3,69,Not Fraud,11,3,2023,10,2
3,1,180,180,3,92,Not Fraud,26,3,2023,1,27
0,0,350,350,3,57,Not Fraud,14,4,2023,16,52
1,1,120,100,3,83,Fraud,29,4,2023,8,17
2,1,0,0,3,68,Not Fraud,18,5,2023,23,42
5,1,350,350,3,96,Not Fraud,3,6,2023,15,7
6,0,140,120,3,46,Fraud,22,6,2023,6,33
4,1,160,160,3,81,Not Fraud,7,7,2023,21,58
3,0,180,180,3,60,Not Fraud,26,7,2023,13,23
0,1,350,350,3,88,Not Fraud,10,8,2023,4,48
1,0,120,120,3,53,Not Fraud,29,8,2023,20,13
2,1,0,0,3,77,Not Fraud,14,9,2023,11,39
5,0,350,160,3,64,Fraud,3,10,2023,3,4
6,1,140,140,3,91,Not Fraud,18,10,2023,18,29
4,0,160,160,3,50,Not Fraud,6,11,2023,9,54
3,1,180,180,3,75,Not Fraud,21,11,2023,1,19
0,0,350,350,3,59,Not Fraud,10,12,2023,16,44
1,1,120,120,3,84,Not Fraud,25,12,2023,8,10
2,1,0,0,3,66,Not Fraud,2,1,2023,23,35
5,1,350,350,3,93,Not Fraud,20,1,2023,15,0
6,0,140,140,3,45,Not Fraud,4,2,2023,6,25
4,1,160,160,3,80,Not Fraud,23,2,2023,21,50
3,0,180,90,3,62,Fraud,11,3,2023,13,16
0,1,350,350,3,86,Not Fraud,26,3,2023,4,41
1,0,120,120,3,51,Not Fraud,14,4,2023,20,6
2,1,0,0,3,73,Not Fraud,30,4,2023,11,31
5,0,350,350,3,56,Not Fraud,19,5,2023,2,56
6,1,140,140,3,82,Not Fraud,3,6,2023,18,22
4,0,160,160,3,70,Not Fraud,22,6,2023,9,47
3,1,180,180,3,97,Not Fraud,7,7,2023,1,12
0,0,350,350,3,47,Not Fraud,26,7,2023,16,37
1,1,120,0,3,84,Fraud,11,8,2023,8,2
2,1,0,0,3,65,Not Fraud,30,8,2023,23,27
5,1,350,350,3,92,Not Fraud,15,9,2023,14,53
6,0,140,140,3,53,Not Fraud,4,10,2023,6,18
4,1,160,160,3,79,Not Fraud,19,10,2023,21,43
3,0,180,120,3,61,Fraud,7,11,2023,13,8
0,1,350,350,3,89,Not Fraud,22,11,2023,4,33
1,0,120,120,3,44,Not Fraud,11,12,2023,19,59
2,1,0,0,3,78,Not Fraud,27,12,2023,11,24
5,0,350,350,3,67,Not Fraud,5,1,2023,2,49
6,1,140,120,3,95,Fraud,22,1,2023,18,14
4,0,160,160,3,55,Not Fraud,9,2,2023,9,39
3,1,180,180,3,80,Not Fraud,24,2,2023,1,5
0,0,350,350,3,62,Not Fraud,15,3,2023,16,30
1,1,120,120,3,87,Not Fraud,30,3,2023,7,55
2,1,0,0,3,47,Not Fraud,18,4,2023,23,20
5,1,350,350,3,73,Not Fraud,4,5,2023,14,45
6,0,140,140,3,68,Not Fraud,23,5,2023,6,10
4,1,160,160,3,91,Not Fraud,7,6,2023,21,35
3,0,180,90,3,52,Fraud,26,6,2023,13,1
0,1,350,350,3,82,Not Fraud,11,7,2023,4,26
1,0,120,120,3,56,Not Fraud,30,7,2023,19,51
2,1,0,0,3,84,Not Fraud,15,8,2023,11,16
5,0,350,350,3,69,Not Fraud,3,9,2023,2,41
6,1,140,140,3,94,Not Fraud,18,9,2023,18,6
4,0,160,160,3,49,Not Fraud,7,10,2023,9,32
3,1,180,180,3,76,Not Fraud,22,10,2023,0,57
0,0,350,350,3,63,Not Fraud,10,11,2023,16,22
1,1,120,120,3,88,Not Fraud,25,11,2023,7,47
2,1,0,0,3,74,Not Fraud,14,12,2023,23,12
5,1,350,350,3,96,Not Fraud,30,12,2023,14,38
6,0,140,140,3,61,Not Fraud,7,1,2023,6,3
4,1,160,140,3,85,Fraud,24,1,2023,21,28
3,0,180,180,3,52,Not Fraud,12,2,2023,12,53
0,1,350,350,3,79,Not Fraud,27,2,2023,4,18
1,0,120,120,3,66,Not Fraud,17,3,2023,19,43
2,1,0,0,3,90,Not Fraud,2,4,2023,11,9
5,0,350,350,3,48,Not Fraud,21,4,2023,2,34
6,1,140,60,3,77,Fraud,6,5,2023,17,59
4,0,160,160,3,60,Not Fraud,26,5,2023,9,24
3,1,180,180,3,83,Not Fraud,10,6,2023,0,49
0,0,350,350,3,71,Not Fraud,29,6,2023,16,14
1,1,120,120,3,97,Not Fraud,14,7,2023,7,40
2,1,0,0,3,46,Not Fraud,2,8,2023,23,5
5,1,350,350,3,81,Not Fraud,18,8,2023,14,30
6,0,140,140,3,64,Not Fraud,22,6,2023,18,23
4,1,160,160,3,93,Not Fraud,10,7,2023,9,48
3,0,180,180,3,57,Not Fraud,25,7,2023,1,13
0,1,350,350,3,86,Not Fraud,13,8,2023,16,38
1,0,120,120,3,55,Not Fraud,28,8,2023,7,53
2,1,0,0,3,82,Not Fraud,16,9,2023,23,18
5,0,350,350,3,63,Not Fraud,1,10,2023,14,43
6,1,140,120,3,90,Fraud,20,10,2023,6,8
4,0,160,160,3,48,Not Fraud,4,11,2023,21,33
3,1,180,180,3,76,Not Fraud,23,11,2023,12,58
0,0,350,120,3,58,Fraud,8,12,2023,4,23
1,1,120,120,3,87,Not Fraud,27,12,2023,19,48
2,1,0,0,3,67,Not Fraud,5,1,2023,11,13
5,1,350,350,3,94,Not Fraud,22,1,2023,2,38
6,0,140,140,3,71,Not Fraud,9,2,2023,18,3
4,1,160,60,3,89,Fraud,24,2,2023,9,28
3,0,180,180,3,52,Not Fraud,15,3,2023,0,53
0,1,350,350,3,79,Not Fraud,30,3,2023,16,18
1,0,120,120,3,66,Not Fraud,14,4,2023,7,43
2,1,0,0,3,95,Not Fraud,3,5,2023,23,8
5,0,350,350,3,44,Not Fraud,19,5,2023,14,33
6,1,140,140,3,78,Not Fraud,7,6,2023,5,58
4,0,160,160,3,61,Not Fraud,22,6,2023,21,23
3,1,180,180,3,85,Not Fraud,11,7,2023,12,48
0,0,350,350,3,49,Not Fraud,26,7,2023,4,13
1,1,120,90,3,74,Fraud,14,8,2023,19,38
2,1,0,0,3,69,Not Fraud,29,8,2023,11,3
5,1,350,350,3,92,Not Fraud,17,9,2023,2,28
6,0,140,140,3,57,Not Fraud,2,10,2023,17,53
4,1,160,160,3,83,Not Fraud,21,10,2023,9,18
3,0,180,180,3,68,Not Fraud,5,11,2023,0,43
0,1,350,350,3,96,Not Fraud,24,11,2023,16,8
1,0,120,120,3,46,Not Fraud,9,12,2023,7,33
2,1,0,0,3,81,Not Fraud,28,12,2023,22,58
5,0,350,350,3,60,Not Fraud,6,1,2023,14,23
6,1,140,140,3,88,Not Fraud,23,1,2023,5,48
4,0,160,160,3,53,Not Fraud,10,2,2023,21,13
3,1,180,120,3,77,Fraud,26,2,2023,12,38
0,0,350,350,3,64,Not Fraud,18,3,2023,4,3
1,1,120,0,3,91,Fraud,2,4,2023,19,28
2,1,0,0,3,50,Not Fraud,21,4,2023,10,53
5,1,350,350,3,75,Not Fraud,6,5,2023,2,18
6,0,140,140,3,59,Not Fraud,25,5,2023,17,43
4,1,160,160,3,84,Not Fraud,9,6,2023,9,8
3,0,180,180,3,66,Not Fraud,28,6,2023,0,33
0,1,350,350,3,93,Not Fraud,13,7,2023,15,58
1,0,120,120,3,45,Not Fraud,31,7,2023,7,23
2,1,0,0,3,80,Not Fraud,15,8,2023,22,48
5,0,350,350,3,62,Not Fraud,3,9,2023,14,13
6,1,140,140,3,86,Not Fraud,18,9,2023,5,38
4,0,160,160,3,51,Not Fraud,7,10,2023,21,3
3,1,180,90,3,73,Fraud,22,10,2023,12,28
0,0,350,350,3,56,Not Fraud,10,11,2023,3,53
1,1,120,120,3,82,Not Fraud,25,11,2023,19,18
2,1,0,0,3,70,Not Fraud,15,12,2023,10,43
5,1,350,350,3,97,Not Fraud,30,12,2023,2,8
6,0,140,140,3,47,Not Fraud,7,1,2023,17,33
4,1,160,120,3,84,Fraud,24,1,2023,8,58
3,0,180,180,3,65,Not Fraud,11,2,2023,0,23
0,1,350,350,3,92,Not Fraud,1,3,2023,15,48
1,0,120,120,3,53,Not Fraud,20,3,2023,7,13
2,1,0,0,3,79,Not Fraud,5,4,2023,22,38
5,0,350,350,3,61,Not Fraud,25,4,2023,14,3
6,1,140,120,3,89,Fraud,10,5,2023,5,28
4,0,160,160,3,44,Not Fraud,29,5,2023,20,53
3,1,180,180,3,78,Not Fraud,13,6,2023,12,18
0,0,350,350,3,67,Not Fraud,2,7,2023,3,43
1,1,120,120,3,95,Not Fraud,17,7,2023,19,8
2,1,0,0,3,55,Not Fraud,5,8,2023,10,33
5,1,350,350,3,80,Not Fraud,20,8,2023,1,58
6,0,140,140,3,62,Not Fraud,8,9,2023,17,23
4,1,160,160,3,87,Not Fraud,23,9,2023,8,48
3,0,180,180,3,47,Not Fraud,12,10,2023,0,13
0,1,350,350,3,73,Not Fraud,27,10,2023,15,38
1,0,120,120,3,68,Not Fraud,15,11,2023,7,3
2,1,0,0,3,91,Not Fraud,30,11,2023,22,28
5,0,350,350,3,52,Not Fraud,19,12,2023,13,53
6,1,140,140,3,82,Not Fraud,3,1,2023,5,18
4,0,160,160,3,56,Not Fraud,20,1,2023,20,43
3,1,180,140,3,84,Fraud,8,2,2023,12,8
0,0,350,350,3,69,Not Fraud,23,2,2023,3,33
1,1,120,120,3,94,Not Fraud,14,3,2023,18,58
2,1,0,0,3,49,Not Fraud,29,3,2023,10,23
5,1,350,120,3,76,Fraud,17,4,2023,1,49
6,0,140,140,3,63,Not Fraud,2,5,2023,17,14
4,1,160,160,3,88,Not Fraud,21,5,2023,8,39
3,0,180,180,3,74,Not Fraud,5,6,2023,0,4
0,1,350,90,3,96,Fraud,24,6,2023,15,29
1,0,120,120,3,61,Not Fraud,9,7,2023,6,55
2,1,0,0,3,85,Not Fraud,28,7,2023,22,20
5,0,350,350,3,52,Not Fraud,13,8,2023,13,45
6,1,140,140,3,79,Not Fraud,29,8,2023,5,10
4,0,160,160,3,66,Not Fraud,17,9,2023,20,36
3,1,180,180,3,90,Not Fraud,2,10,2023,12,1
0,0,350,350,3,48,Not Fraud,21,10,2023,3,26
1,1,120,120,3,77,Not Fraud,5,11,2023,18,51
2,1,0,0,3,60,Not Fraud,24,11,2023,10,16
5,1,350,350,3,83,Not Fraud,9,12,2023,1,42
6,0,140,140,3,71,Not Fraud,28,12,2023,17,7
4,1,160,160,3,97,Not Fraud,5,1,2023,8,32
3,0,180,180,3,46,Not Fraud,31,10,2023,12,43
0,1,350,350,3,81,Not Fraud,19,11,2023,4,8
1,0,120,120,3,64,Not Fraud,4,12,2023,19,33
2,1,0,0,3,93,Not Fraud,24,12,2023,10,58
5,0,350,350,3,57,Not Fraud,8,1,2023,2,23
6,1,140,140,3,86,Not Fraud,25,1,2023,17,48
4,0,160,160,3,55,Not Fraud,13,2,2023,9,13
3,1,180,160,3,82,Fraud,28,2,2023,0,38
0,0,350,350,3,63,Not Fraud,19,3,2023,16,3
1,1,120,0,3,90,Fraud,4,4,2023,7,28
2,1,0,0,3,48,Not Fraud,23,4,2023,22,53
5,1,350,350,3,76,Not Fraud,9,5,2023,14,18
6,0,140,140,3,58,Not Fraud,28,5,2023,5,43
4,1,160,140,3,87,Fraud,12,6,2023,21,8
3,0,180,180,3,67,Not Fraud,27,6,2023,12,33
0,1,350,350,3,94,Not Fraud,15,7,2023,3,58
1,0,120,120,3,71,Not Fraud,30,7,2023,19,23
2,1,0,0,3,89,Not Fraud,18,8,2023,10,48
5,0,350,350,3,52,Not Fraud,2,9,2023,2,13
6,1,140,120,3,79,Fraud,21,9,2023,17,38
4,0,160,160,3,66,Not Fraud,6,10,2023,9,3
3,1,180,180,3,95,Not Fraud,25,10,2023,0,28
0,0,350,350,3,44,Not Fraud,9,11,2023,15,53
1,1,120,90,3,78,Fraud,28,11,2023,7,18
2,1,0,0,3,61,Not Fraud,13,12,2023,22,43
5,1,350,140,3,85,Fraud,1,1,2023,14,8
6,0,140,140,3,49,Not Fraud,20,1,2023,5,33
4,1,160,160,3,74,Not Fraud,4,2,2023,20,58
3,0,180,120,3,69,Fraud,23,2,2023,12,23
0,1,350,350,3,92,Not Fraud,10,3,2023,3,48
1,0,120,0,3,57,Fraud,29,3,2023,19,13
2,1,0,0,3,83,Not Fraud,14,4,2023,10,38
5,0,350,350,3,68,Not Fraud,3,5,2023,2,3
6,1,140,140,3,96,Not Fraud,18,5,2023,17,28
4,0,160,160,3,46,Not Fraud,6,6,2023,8,53
3,1,180,180,3,81,Not Fraud,21,6,2023,0,18
0,0,350,350,3,60,Not Fraud,9,7,2023,15,43
1,1,120,120,3,88,Not Fraud,24,7,2023,7,8
2,1,0,0,3,53,Not Fraud,12,8,2023,22,33
5,1,350,350,3,77,Not Fraud,28,8,2023,13,58
6,0,140,120,3,64,Fraud,16,9,2023,5,23
4,1,160,160,3,91,Not Fraud,1,10,2023,20,48
3,0,180,180,3,50,Not Fraud,20,10,2023,12,13
0,1,350,160,3,75,Fraud,4,11,2023,3,38
1,0,120,120,3,59,Not Fraud,23,11,2023,19,3
2,1,0,0,3,84,Not Fraud,12,12,2023,10,28
5,0,350,350,3,66,Not Fraud,27,12,2023,1,53
6,1,140,140,3,93,Not Fraud,5,1,2023,17,18
4,0,160,160,3,45,Not Fraud,22,1,2023,8,43
3,1,180,160,3,80,Fraud,10,2,2023,0,8
0,0,350,350,3,62,Not Fraud,25,2,2023,15,33
1,1,120,120,3,86,Not Fraud,17,3,2023,6,58
2,1,0,0,3,51,Not Fraud,1,4,2023,22,23
5,1,350,350,3,73,Not Fraud,20,4,2023,13,48
6,0,140,100,3,56,Fraud,5,5,2023,5,13
4,1,160,160,3,82,Not Fraud,24,5,2023,20,38
3,0,180,180,3,70,Not Fraud,8,6,2023,12,3
0,1,350,350,3,97,Not Fraud,27,6,2023,3,28
1,0,120,120,3,47,Not Fraud,12,7,2023,18,53
2,1,0,0,3,84,Not Fraud,31,7,2023,10,18
5,0,350,350,3,65,Not Fraud,16,8,2023,1,43
6,1,140,140,3,92,Not Fraud,4,9,2023,17,8
4,0,160,120,3,53,Fraud,19,9,2023,8,33
3,1,180,180,3,79,Not Fraud,8,10,2023,23,58
0,0,350,350,3,61,Not Fraud,24,10,2023,15,23
1,1,120,120,3,89,Not Fraud,12,11,2023,6,48
2,1,0,0,3,44,Not Fraud,27,11,2023,22,13
5,1,350,350,3,78,Not Fraud,17,12,2023,13,38
6,0,140,140,3,67,Not Fraud,31,12,2023,5,3
4,1,160,160,3,95,Not Fraud,8,1,2023,20,28
3,0,180,180,3,55,Not Fraud,26,1,2023,11,53
0,1,350,350,3,80,Not Fraud,14,2,2023,3,18
1,0,120,120,3,62,Not Fraud,1,3,2023,18,43
2,1,0,0,3,87,Not Fraud,20,3,2023,10,8
5,0,350,350,3,47,Not Fraud,5,4,2023,1,33
6,1,140,140,3,73,Not Fraud,24,4,2023,16,58
4,0,160,160,3,68,Not Fraud,9,5,2023,8,23
3,1,180,180,3,91,Not Fraud,28,5,2023,23,48
0,0,350,120,3,52,Fraud,13,6,2023,15,13
1,1,120,120,3,82,Not Fraud,2,7,2023,6,38
2,1,0,0,3,56,Not Fraud,17,7,2023,22,3
5,1,350,350,3,84,Not Fraud,5,8,2023,13,28
6,0,140,140,3,69,Not Fraud,20,8,2023,4,53
4,1,160,160,3,94,Not Fraud,8,9,2023,20,18
3,0,180,120,3,49,Fraud,23,9,2023,11,43
0,1,350,350,3,76,Not Fraud,12,10,2023,3,8
1,0,120,120,3,63,Not Fraud,27,10,2023,18,33
2,1,0,0,3,88,Not Fraud,15,11,2023,9,58
5,0,350,350,3,74,Not Fraud,30,11,2023,1,23
6,1,140,140,3,96,Not Fraud,19,12,2023,16,48
4,0,160,160,3,61,Not Fraud,3,1,2023,8,13
3,1,180,180,3,85,Not Fraud,20,1,2023,23,38
0,0,350,90,3,52,Fraud,8,2,2023,15,3
1,1,120,120,3,79,Not Fraud,23,2,2023,6,28
2,1,0,0,3,66,Not Fraud,14,3,2023,21,53
5,1,350,120,3,90,Fraud,30,3,2023,13,18
6,0,140,140,3,48,Not Fraud,18,4,2023,4,43
4,1,160,160,3,77,Not Fraud,3,5,2023,20,8
3,0,180,180,3,60,Not Fraud,23,5,2023,11,33
0,1,350,350,3,83,Not Fraud,7,6,2023,2,58
1,0,120,120,3,71,Not Fraud,30,3,2023,7,13
2,1,0,0,3,97,Not Fraud,15,4,2023,22,38
5,0,350,350,3,46,Not Fraud,4,5,2023,14,3
6,1,140,140,3,81,Not Fraud,19,5,2023,5,28
4,0,160,120,3,64,Fraud,7,6,2023,20,53
3,1,180,180,3,93,Not Fraud,23,6,2023,12,18
0,0,350,350,3,57,Not Fraud,12,7,2023,3,43
1,1,120,120,3,86,Not Fraud,27,7,2023,19,8
2,1,0,0,3,55,Not Fraud,15,8,2023,10,33
5,1,350,350,3,82,Not Fraud,30,8,2023,1,58
6,0,140,140,3,63,Not Fraud,18,9,2023,17,23
4,1,160,160,3,90,Not Fraud,3,10,2023,8,48
3,0,180,140,3,48,Fraud,22,10,2023,0,13
0,1,350,350,3,76,Not Fraud,6,11,2023,15,38
1,0,120,120,3,58,Not Fraud,25,11,2023,7,3
2,1,0,0,3,87,Not Fraud,10,12,2023,22,28
5,0,350,350,3,67,Not Fraud,29,12,2023,13,53
6,1,140,140,3,94,Not Fraud,6,1,2023,5,18
4,0,160,160,3,71,Not Fraud,23,1,2023,20,43
3,1,180,180,3,89,Not Fraud,11,2,2023,12,8
0,0,350,350,3,52,Not Fraud,26,2,2023,3,33
1,1,120,120,3,79,Not Fraud,18,3,2023,18,58
2,1,0,0,3,66,Not Fraud,2,4,2023,10,23
5,1,350,350,3,95,Not Fraud,21,4,2023,1,48
6,0,140,140,3,44,Not Fraud,6,5,2023,17,13
4,1,160,160,3,78,Not Fraud,25,5,2023,8,38
3,0,180,180,3,61,Not Fraud,9,6,2023,0,3
0,1,350,90,3,85,Fraud,28,6,2023,15,28
1,0,120,0,3,49,Fraud,13,7,2023,6,53
2,1,0,0,3,74,Not Fraud,31,7,2023,22,18
5,0,350,350,3,69,Not Fraud,16,8,2023,13,43
6,1,140,120,3,92,Fraud,4,9,2023,5,8
4,0,160,140,3,57,Fraud,19,9,2023,20,33
3,1,180,180,3,83,Not Fraud,8,10,2023,11,58
0,0,350,350,3,68,Not Fraud,23,10,2023,3,23
1,1,120,120,3,96,Not Fraud,11,11,2023,18,48
2,1,0,0,3,46,Not Fraud,26,11,2023,10,3
5,1,350,350,3,81,Not Fraud,15,12,2023,1,28
6,0,140,140,3,60,Not Fraud,30,12,2023,16,53
4,1,160,160,3,88,Not Fraud,8,1,2023,8,18
3,0,180,180,3,53,Not Fraud,25,1,2023,23,43
0,1,350,350,3,77,Not Fraud,13,2,2023,15,8
1,0,120,120,3,64,Not Fraud,28,2,2023,6,33
2,1,0,0,3,91,Not Fraud,19,3,2023,21,58
5,0,350,350,3,50,Not Fraud,4,4,2023,13,23
6,1,140,140,3,75,Not Fraud,23,4,2023,4,48
4,0,160,160,3,59,Not Fraud,8,5,2023,20,13
3,1,180,180,3,84,Not Fraud,27,5,2023,11,38
0,0,350,350,3,66,Not Fraud,11,6,2023,3,3
1,1,120,120,3,93,Not Fraud,30,6,2023,18,28
2,1,0,0,3,45,Not Fraud,15,7,2023,9,53
5,1,350,350,3,80,Not Fraud,3,8,2023,1,18
6,0,140,140,3,62,Not Fraud,18,8,2023,16,43
4,1,160,160,3,86,Not Fraud,6,9,2023,8,8
3,0,180,180,3,51,Not Fraud,21,9,2023,23,33
0,1,350,100,3,73,Fraud,10,10,2023,14,58
